,korean,english
7631,홈페이지가 중국어로 되어 있어 해석이 안되네요.,I can't understand this page because it is written in Chinese.
7632,차는 있는데 주차하기가 좀 애매한 시간이라서.,"I have a car, but it's an awkward time to find a parking spot."
7633,나도 그 이야기 들었어. 벌써 외국으로 진출한 브랜드도 있다고 들었어.,I heard that too. Some cosmetic brands have already entered overseas markets.
7634,나는 또 반칙이 너무 험해서 두 골 넣게 해주려는지 알았어.,I thought that the foul was so harsh that they were given the chance to score two goals.
7635,나는 운송 회사는 상관하지 않아.,I don't care about the delivery company.
7636,나도 내가 왜 남자친구가 없는지 궁금해요.,I also wonder why I don't have a boyfriend.
7637,여기 일이 정리가 되야 갈수 있을 것 같아요.,I think I can go after things here are sorted out.
7638,어머니는 이번 주 내내 아프셨어요.,My mother has been ill all this week.
7639,나는 스피킹을 잘하기 위해 공부하고 있는 중이에요.,I am studying to work on my speaking skills.
7640,학생 식당은 어디인가요? 그곳에서 친구를 만나기로 해서요.,Where is the student cafeteria? I'm supposed to meet a friend there.
7641,그런데 오래돼서 그런지 경기장이 너무 후져요.,But since it has been there for so long the stadium is very outdated.
7642,그렇구나. 그렇다면 나는 치즈를 사 갈게. 빈손으로 갈 수는 없지. ,Then I'll bring some cheese. I can't go empty-handed.
7643,학생의 도리에 어긋난 행동이 자제가 되기 때문이예요.,Because it prevents behavior that is not proper as a student.
7644,그곳은 하늘도 맑고 날씨도 선선했어요.,The sky was clear and and the weather was cool.
7645,"우와, 정확히 어떤 종류의 특허인지 알려줄 수 있나요?","Wow, can you tell me exactly what kind of patent it is?"
7646,회전하는 작살로 많은 물고기를 잡아 골드를 획득하세요.,"With the spinning spear, earn gold by catching a lot of fish."
7647,왜 두 나무에 가격이 다른지 설명해 주세요.,Tell me why these two woods have different prices.
7648,나는 세리 중에 최고의 세리 장이란 말이야.,I am the best sery jang of the serys.
7649,저는 아들에게 생활하기에 넉넉할 만큼 돈을 보내고 있다고 확신해요.,I believe I'm remitting my son enough money to get along.
7650,캐나다에는 두개의 판매세가 있어요.,In Canada we have two sales taxes.
7651,그럼 유나이티드 솔루션에 연락해 보죠.,Then let's get in touch with United Solutions.
7652,생각보다 빨리 퇴원해서 다행이에요.,It is a good thing that the discharge is faster than expected.
7653,너도 여기 오게 되면 나와 같은 결정을 할꺼야.,You will decide the same as I did if you get here.
7654,가격은 얼마나 하나요?,How much is it?
7655,신청서를 받는데 어려움이 있었어요.,I had some trouble getting an application form.
7656,그때부터 나의 롤 모델은 월트 디즈니가 되었어.,Walt Disney became my role model since that time.
7657,저의 장점은 타인의 의견을 잘 경청한다는 것이예요.,My good point is that I listen to other people very well.
7658,"엄마, 나 이미 튼튼하고 건강해. 늦었어. 빨리 가야 해.","Mom, I'm already strong and healthy. I’m late. I have to go."
7659,그래서 이번휴가는 가장 기억에 남는 휴가가 되었어.,So this vacation has become the most memorable one.
7660,가장 가까운 경찰서에 가서 재발급받으면 됩니다.,Go to the closest police station to get one reissued. 
7661,지금보다 똑똑하고 지혜로운 어른이 되어있을것이예요.,I'll be a wiser and cleverer grown up than now.
7662,우리는 당신에게 진심으로 고마워 하고 있어요.,We appreciate to you from bottom of our heart.
7663,전쟁으로 피폐해진 지구를 구할 수 있는 파일럿은 과연 누구일까요?,Who's the pilot that can really save the planet torn by war?
7664,단 한 시간을 넘지 말아야 해요.,"But, you should not exceed an hour."
7665,또 다른 은행 빚이 있는지 알려 주세요.,Let me know if there's an another debt at other banks.
7666,이 샐러드에 어울리는 드레싱으로 부탁해요.,Please bring me a dressing that goes with this salad.
7667,고등학생때 꿈꾸었던 생활을 했어요.,I did what I dreamed of as a high school student.
7668,자살을 허락해 달라고 하느님께 기도해요.,I pray to God to let me commit suicide.
7669,"응, 2주 후에 회사로 복귀할 거야.","Yes, she will be back to work after 2 weeks."
7670,저희가 검수 인력을 몇 명 투입하면 가능할까요?,How many inspectors should we put to make it possible?        
7671,영국의 #셜록# 같은 드라마가 우리나라에도 있니?,Is there a drama like #Sherlock# in England in our country?
7672,알고 싶지도 않으니깐 말 걸지 마세요.,"I don't want to know about it, so don't try to talk to me."
7673,오르골은 소중한 선물이 될 수도 있어요.,A music box might be a precious gift.
7674,나는 몇 번의 숙박을 사용했어요.,I used accommodations several times.
7675,환자복이 더러워져서 새 옷으로 바꿔입고 싶습니다.,I would like to change to new clothes as my hospital clothes have gotten dirty.
7676,나는 국가 직 공무원이고 친구는 지방 직 공무원이에요.,I am a government officer and my friend is a local officer.
7677,그결과 지금은 매우 건강한몸을가지고 있어요.,"As a result, I have a very healthy body."
7678,오늘 설명해주신 제품으로 전환하면 실제 비용은 얼마나 감소 될 수 있을까요?,How much can the actual cost be reduced when it is converted to the product that you've explained today?        
7679,유명한 광장까지 여기서부터 얼마 정도 걸리나요?,How long will it take from here to the famous plaza?
7680,여기 앉아보세요. 자세히 한 번 봅시다.  잠깐 빛을 비출게요.,Take a seat. Let's take a look. I'm going to shine a light for a moment.
7681,전 그것에 불만족스러운 점이 있어요.,I have some dissatisfactions about it.
7682,작년 겨울부터 방학 때마다 여행을 다니고 있어.,I have been travelling every break since last summer.
7683,"먼저 첫째, 저는 배려를 잘 하는 사람이예요.","First and foremost, I am a very considerate person."
7684,한 번도 사용하지 않았습니다. 확인해보세요.,I didn't use it even once. Check it.
7685,3시부터 5시까지 비어있는 회의실 하나 있습니다.,There is 1 conference room that's empty from 3 p.m to 5 p.m.
7686,집 밖으로 나가는 것이 귀찮고 땀 흘리는 것도 싫어요.,I can't be bothered to go outside and I hate sweating too.
7687,죄송하지만 입장은 공연 시작 30분 전부터 가능합니다. ,I am sorry but entrance is possible only 30 minutes before the concert.
7688,나는 줄넘기와 인형 놀이를 좋아해요.,I enjoy jumping rope and playing with dolls.
7689,공부 중에 음악을 듣는 건 어떤가?,How about listening to music while studying?
7690,다만 한가지만 더 말씀 드려도 될런지요?,May I ask you the one more thing lastly?
7691,친구들이 면세점이 저렴해서 구매를 부탁한 물건이 많아서요. 시간이 좀 걸릴 것 같아요.,My friends have asked me to buy many items at the duty-free shop because they are cheap. I think it will take time.
7692,그래서 그 제품이 출시 하기를 학수 고대하고 있어.,So I'm looking forward to the product release.
7693,힘들었던 만큼 좋은 성적을 받았어요.,"As it had been difficult to me, I got a good grade."
7694,사장님을 포함한 모든 인원이 현재 출장중이야.,Every staff including the boss are on a business trip.
7695,"물론입니다, 걸친 옷 제외하고는 다 바구니에 넣어주세요.","Of course, please place everything inside the basket except the clothes you're wearing."
7696,그런데 결혼하자는 사람을 제가 어떻게 생각해요?,But how can I think of the person who wants to marry me?
7697,오늘 은행에서 기숙사비용을 지불하였어요.,I paid for the dormitory today at the bank.
7698,인문학을 처음 접하시는 거라면 '군주론'은 어려울 수 있습니다.,The Prince' could be hard if you're encountering humanities for the first time.
7699,그래야만 금요일까지 제품을 받을수 있어요.,You will receive the product until Friday only if you do that.
7700,저는 요새 주목받고 있는 폴더블폰이 어떨까 합니다. ,I thought about a foldable phone that's gaining attention recently.
7701,한국어를 배우는 친구들에게 알려주세요.,Please let the friends who study Korean know.
7702,"이미 단단히 주의시켰고, 팀원 대부분이 외근이라 괜찮을 겁니다. ","It will be fine because I already warned them clearly, and most of the team members will be working away from the office."
7703,조금만 더 천천히 말씀해 주실 수 있을까요?,Could you please speak a little bit slower?
7704,인터넷 시대에 뉴스라는 장르가 많이 복잡해졌다고 생각하는데요.,I think the genre of news has become much more complicated in the age of the Internet.        
7705,버스와 지하철은 위에서 언급한 것과 같은 세 가지 차이점을 가지고 있어요.,The bus and subway has three differences as mentioned above.
7706,나는 내일 이곳까지 택시나 지하철로 이동해야 해.,I have to take a taxi or the subway to come here tomorrow.
7707,무슨 일 있어? 너 오늘 되게 피곤해 보인다. ,What's wrong? You look very tired.
7708,내가 다니던 고등학교에서 한 번 그런 적 있었는데.,My high school team did something like that back in the day.
7709,핀은 없어. 네 머리 길이를 보니 머리만 묶어도 될 것 같은데? ,"No, but I think hair tie would be enough for your hair length, wouldn't it?"
7710,페이 팔 결제 계정을 등록해야 해요.,You need to submit a PayPal account.
7711,우리 동아리 사람들 모두 출전할 예정입니다. 각자 원하는 사람들과 팀을 이루면 됩니다.,All of our club members are going to participate. You can team up with the people you want.
7712,"네, 알겠습니다. 그럼 보통 재무 관련 업무는 재무팀께 여쭤보고 출장 경비만 김대리님께 여쭤보면 될까요?","Okay. So, any finance related matters can go to finance team and I can just ask travel expense related questions to Ms. Mi-jin Kim?"
7713,나의 첫번째 취미는 친구들과 함께 맛있는 음식을 많이 먹으러 다니는 것이예요.,My first hobby is to go for delicious food with my friends.
7714,사내 반입 제한물품을 보유중이신가요?,Do you have any items that the company prohibited?
7715,항상 감사한 마음을 가지고 열심히 노력하겠습니다.,I will always do my best with gratitude.
7716,이게 제가 가진 돈의 거의 전부이예요.,This is about all the money I have.
7717,의사가 사진을 보고 깊이 생각하고 있어.,The doctor is deep in thought looking at the picture.
7718,"세번째, 기분좋은 상상하기이에요.","Thirdly, you can conceive of positive things."
7719,내가 너의 좋은 남자 형제가 되볼까?,Shall I become your nice brother?
7720,기존에 보내신게 그렇게 되어있지 않아요.,The last batch of delivery was not organized.
7721,대학에 들어와서 제2외국어로 배우기 좋은 언어가 뭐가 있을까?,Can you recommend a second language for me to learn in college?
7722,잘 모르겠네요. 무엇 때문에 그러시죠?,I'm not sure. Why are you asking this?
7723,거리는 중요하지 않아 마음이 중요하지.,"The distance does not matter, the heart is important."
7724,당신과 사진을 찍지 못해서 아쉬워요.,I m so sorry that i couldnt take a photo with you.
7725,솔직히 말하자면 그게 아주 자세한 설명은 아니예요.,I will be honest they are not the most detailed instructions.
7726,당신이 걱정하게 하지 않기 위해 미리 얘기해요.,I am telling you in advance so you won't worry about it.
7727,"우리가 미국에 가장 주력하고 있는 줄 알았는데, 아니었나요?","I thought we were concentrating on the United States the most, weren't we?"
7728,그러면 내일 유니폼 입고 농구장에 6시까지 오겠습니다.,Then we will be at the basketball court by 6 in uniform. 
7729,어차피 가운이 헐렁하기 때문에 원래 사이즈로 주문하셔도 괜찮습니다.,"The gown is very loose, so please order according to your usual size."
7730,혹시 다음 주 해외 출장 갔을때 현지 바이어에게 드릴 선물 구매 하셨나요?,Did you already purchase gifts for our local buyers when we go next week?
7731,"잠시 후, 해외 클라이언트와의 컨퍼런스 콜이 진행될 예정입니다.",We'll start a conference call with our overseas client shortly. 
7732,터키에서 가장 인기 있고 전통적인 술은 무엇입니까?,What is the most popular and traditional liquor in Turkey?
7733,운송료를 조금더 줄일수 있는 방안은 없나요?,Are there any methods to save further on delivery charges?
7734,나는 당신과 새로운 관계를 원해요.,I want to make a new relationship with you.
7735,우리 입학할때 기억나? 진짜 엇그제 같다. 시간 참 빠르다.,Do you remember when we first started school? It just feels like yesterday. Time flies.
7736,한 가지 요청하고 싶은 아이템이 있어.,There is an item I want to ask for.
7737,그렇군요. 제가 유심칩 구매 비용을 지급해야 하나요?,I see. Do I need to pay for the USIM chips?
7738,그러면 그 도서관은 안 닫으니깐 거기에서 만나죠. ,Then we should meet at that library since it doesn't close. 
7739,개인 및 회사 모두 라이센스를 얻을 수 있나요?,Can both individual and company obtain license?
7740,난 이번 월드컵을 진짜 너무 재미가 있게 봤다.,I really enjoyed this World Cup.
7741,가을이 좋은 이유는 여러가지가 있어.,There are many reasons for liking autumn.
7742,네. 맞습니다. 제 도시락이 다른 사람보다 먼저 제공되는 건가요?,"Yes, right. Is my meal provided earlier than other ones?"
7743,우리는 서로의 손톱에 네일 아트를 해주었어요.,We did a nail art on each other's nails.
7744,접속이 안 되는데요. 소문자로 입력하면 되나요?,I can't get an access. Do I put all lower case letters?
7745,인터넷상으로 구매는 가능하지만 직접 가지러 오셔야 합니다.,You can buy it via the internet but you need to come to get it in person.
7746,나는 계속 너에게 변명 할 기회를 주고 있었어.,I was continuously giving you the chance to explain.
7747,당신이랑 페이스북 메세지 할 거예요.,I'm going to message you via Facebook.
7748,미래사무공간은 새오운 기준과 요구를 필요로해요.,Offices in the future demand new standards and requirement.
7749,이 키튼을 나에게 분양하지않울래?,Won't you parcel out the kitten to me?
7750,이 사이트의 프로그램은 매우 민감해요.,The program on the website is very sensitive.
7751,아버지 생신이셔서 같이 저녁을 먹으려고요.,It's my father's birthday so we are going to have a dinner together.
7752,오늘 저녁 요리로 저도 시도할 것이예요.,I'll try it for the dinner today too.
7753,내일 테스트할 사람은 나의 친구이에요.,The one who will be tested tomorrow is my friend.
7754,미국은 이란의 핵개발을 중단하라고 말하고 있어.,The United States urges Iran to stop nuclear development.
7755,한국처럼 대학교를 다니려면 돈이 많이 필요합니까?,Is it expensive to enter to University like Korea?
7756,그 안에는 투명한 액체가 들어 있는데 거품이 나게 해요.,There is a transparent liquid in there and it produces foam.
7757,내가 업로드한 파일은 확인된 건가요?,Have you checked the file I uploaded?
7758,성공적으로 업무를 수행하기 위해서는 인력 보충이 필요합니다.,More manpower is needed successfully proceed with the task.
7759,"아이를 가지려고 몇 년이나 노력했는데, 정말 잘 됐다.","That's wonderful, because they've been trying to have a child for years."
7760,고등학교 시절 방송부 활동과 지자체 영상제작을 맡은 적이 있어요.,I was in charge of community picture director in high school.
7761,셔츠에 프린팅 되어있는 저 그림이 마음에 안 들어요.,I don't like picture printed on the shirt.
7762,나는 지금 이러한 생각이 나만 드는 것이 아니라고 생각해요.,I don't think I am the only one who thinks like that.
7763,회사 안에 직원들을 위한 수영장이 있는 것은 처음 봅니다.,I've never seen a company with a pool for the employees before.
7764,"운영팀뿐만 아니라, 마케팅팀에서도 같이 논의해야 할 이슈라고 생각합니다.","I think it's an issue that should be discussed with not only the operation team, but also the marketing team."
7765,저한테 찾아 봐달라고 하지 그랬어요.,"Oh, you should have asked me to look it up."
7766,거기까지 가는 데 17시간 넘게 걸리겠네.,It's going to take more than 17 hours to get there.
7767,인천의 대표적인 번화가 중 하나이예요.,Here is one of the representative popular street of Inchon.
7768,우리는 네트워크 정보망으로 많은 것들을 해낼 수 있어.,We can do many things with information in our network.
7769,특히 입술은 멜라닌색소에 민감한 부분이기 때문이예요.,This is because lips are especially sensitive to melanin.
7770,다시한번 번거롭게 해서 죄송해요.,Sorry for making you troublesome again.
7771,나는 앞으로 최선을 다해서 공부를 할것이예요.,"I'm going to study, trying all my best."
7772,내 스마트 폰이 고장나서 바꾸었어.,I changed my smartphone because it was broken.
7773,맞아. 나도 그래. 우린 이제 더 이상 미성년자가 아니라는게 신기해.,I know. Me too. I am shocked that we are not minors anymore.
7774,내 친구들이 너의 얼굴 보내 달래.,My friends want me to show them your face.
7775,그녀는 마음의 짐을 벗어버리기 위해 술을 한 잔 했어요.,She had a drink to take a load off her mind.
7776,비자를 발급받아서 오셨는데 어떤 일로 체류하는 건가요?,You've come with an issued visa and for what will you be staying here?
7777,요즘에는 쓰리 피트 룰이라고 또 이상한 게 생겼더구먼.,There's another weird thing called the Three Feet Rule these days.
7778,평창 동계 올림픽은 정말 기대돼.,I'm looking forward to the Pyeongchang Winter Olympics.
7779,할머니가 심장발작으로 돌아가셨어요.,My grandmother died of a heart attack.
7780,저는 현재 명지고등학겨에 재학중인 강근영 이예요.,I'm Gang Geun Young who is going to Myung Ji high school.
7781,남편이 감기에 걸려 약을 먹어요.,My husband takes medicine due to catching a cold.
7782,만약 내가 운동을 안했더라면 난 세계 최고의 돼지가 되었을 것이에요.,"If I didn't exercise, I would be the best pig in the world."
7783,어렸을 때부터 과일을 싫어 했어요.,I have hated fruits since I was a child.
7784,한국에는 편의점이 많이 있어요.,There are a lot of convenience stores in Korea.
7785,나는 항상 한결같은 사람을 좋아해요.,I like someone who is always consistent.
7786,대학에 막대한 돈을 투자하지 않아도 된다고 생각해요.,I think we don't need to invest a lot of money in college.
7787,토끼가 거북이 한테 달리기 경주를 제안했어요.,The rabbit proposed to have a running race to the turtle.
7788,나는 글로벌 인턴쉽 프로그램으로 호주에 왔기 때문이에요.,Because I came to Australia for global internship program.
7789,당신이 직장을 평생 그만 둘 배짱이 없다면 말이에요.,If you don't have guts to quit the job in your whole life.
7790,내 커피에 우유를 조금만 넣어 주세요.,"Pour a little bit of milk in my coffee, please."
7791,얼굴 외에 발진이 일어난 곳이 있습니까?,Do you have rashes anywhere else besides your face?
7792,평균 기온이 예년을 웃돌 것으로 보이예요.,The average temperature will be higher than usual.
7793,먼저 아래 가격부터 참조바래요.,"First, please refer to the price below."
7794,우선 이 소식을 전달해드려서 죄송해요.,"First of all, sorry to deliver it to you."
7795,종종 남자든 여자든 형제가 있었으면 하고 바래요.,I often wish I had brothers and sisters.
7796,각자 준비한다면 조건이 겹칠 수 있지 않습니까?,Won't some conditions overlap if we prepare separately?
7797,비용을 더 내야 할 줄 알고 걱정했는데 다행히 10kg 안 넘었어.,"I was worried about having to pay a fee but, luckily, it doesn't exceed 10kg."
7798,피겨 스케이팅을 좋아하는 한 사람이예요.,I'm a person who loves figure skating.
7799,좋은 음악이기만 하다면 저는 별로 상관 안해요.,I don't really mind as long as it's good music.
7800,하지만 당신의 자금 상황이 궁금해요.,But I wonder your financial situation now.
7801,#브로드웨이#에서 뮤지컬 보는 게 내 버킷리스트 중 하나야.,Watching a musical on Broadway is one of the items on my bucket list.
7802,나는 이번 추석 때 창원에 갔었어요.,I went to Changwon on this Thanksgiving.
7803,사장님께서 저희를 통해 물건을 팔고 싶으시다고요? ,Do you want to sell the product through us? 
7804,그녀의 두 뺨은 부끄러운 나머지 홍당무가 되었어요.,Her cheeks went red as a rose with shame.
7805,두 가지 문제점을 검토 후 수정하여 제출해 주세요.,"Please hand in, after you check and revise the two problems."
7806,그건 자존심과 아무런 상관이 없어.,That has nothing to do with Pride.
7807,이러한 상황속에서 인간사회는 존속하기가 힘들 것이예요.,"In this situation, human society will be hard to survive."
7808,당신이 지금까지 가장 슬펐던 때는 언제 입니까?,When was your saddest time up until now?
7809,나는 #오버워치#라는 게임의 경기를 챙겨보곤 해. ,I often watch matches for a game called #Overwatch#.
7810,더이상 나한테 편지를 보내지 마세요.,Please do not send letters anymore.
7811,오늘 저 녘이 서비스로 알고 있어요.,I thought today's dinner was service.
7812,숙소에서 짐을 푼 뒤 저녁거리를 사러 갔어.,We went out for grocery after unpacking in the camp.
7813,공항 도착 시각에 맞춰 픽업하러 가겠습니다. 출구에서 피켓 들고 있겠습니다.,I will pick you up at the airport upon your arrival. I'll have the picket at the exit.
7814,첫번째 이유는 유럽여행 갈 때 편하기 때문이에요.,"Firstly, it is convenient when traveling to Europe."
7815,제가 보기에 당신은 과도하게 술에 취했어요.,It seems to me that you are over drunk.
7816,죄송한데 남자 화장실은 어디로 가는지 아세요?,"Excuse me, do you know where to go to the men's room?"
7817,찬성 측에서는 이 문제점에 대해 어떻게 생각하시나요?,What is the stance of the pro side on this problem?
7818,그녀는 흑백 무늬가 있는 여름옷을 입었어요.,She wore a black and white print sundress.
7819,어제 차량 예약 신청한 거 확인해 주세요.,Please check my car reservation last night.
7820,"네, 최대한 다양한 의견을 제시해주시길 바랍니다.","Great, please offer me as many ideas as possible."
7821,가능하다면 초기 세포를 받고 싶어요.,"If possible, I want to get the cell on the early stage."
7822,시내 한복판에서 오도가도 못하게 되었어요.,I got stranded in the middle of downtown.
7823,"당신 파티에는, 제가 갈께요, 어떻게든지요.","To your party, I'll come, by all means."
7824,하루에 몇 번이나 이 약을 먹어야 합니까?,How many times should I take this medicine in a day?
7825,당신만 무사히 돌아 오면 돼요.,All I want is for you to return safely.
7826,직접 모시러 가지 못해서 죄송합니다. 지금 보내드리는 주소로 오시면 돼요.,I'm sorry that I'm unable to pick you up in person. Come to the address that I'm sending you now.
7827,당신은 아침에 보통 언제 일어납니까?,When do you usually wake up in the morning?
7828,두고 온 것은 사랑이 아니라 청춘의 한 시절이에요.,"It's not love that I forgot, it is a part of my young life."
7829,나는 올림픽에 참가해서 좋은 기록을 남기고 싶어.,I want to take part in the Olympic and rank good record.
7830,제가 어제 여기서 산 라디오가 작동이 잘 안 돼요.,The radio I bought here yesterday doesn't work well.
7831,당신이 떠나고 나면 제 영혼에는 어둠이 깔려요.,"When you are gone, darkness comes into my soul."
7832,"정말 재밌게 보고 있구나, 도대체 무슨 프로그램인데?",You sure are enjoying the show. Which program is this?
7833,기분 전환 할 수 있는 노래가 많이 나왔으면 좋겠어.,I hope they release many songs that would help refresh myself.
7834,돈은 지불하였는데 물건을 놓고 갔어.,I left what I bought after paying for it.
7835,내일 친구집에서 자고 와도 될까요?,Can I sleep at friend's house tomorrow?
7836,하지만 요즘에는 일이 많아서 늦게까지 일 해요.,But I work late because I have a lot of work these days.
7837,"이런, 저희는 물건을 최대한 빠르게 받고 싶어요.","Gee, we'd like to receive the items as soon as possible."
7838,핀커 박사님에 따르면 대부분의 경우에 좋을 거래요.,"According to Dr.Pinker, it works well in most cases."
7839,저의 꿈을 이루기 위해 최선을 다할 것이예요.,I'll work very hard to achieve my dreams.
7840,그러네요. 바로 이 앞에 있었네요. 감사합니다.,You are right. It is right in front of here. Thank you.
7841,김밥은 일본의 영향을 받은 음식이예요.,Kimbob is the food that was affected by Japan.
7842,"게다가, 그 게임이 최소 1시간 분량은 되야 하는 거잖아.","Besides, the game has to be at least an hour long."
7843,계단이 어디로 가면 나오는지 말씀해 주시겠어요?,Can you tell me where to go to find the stairs?
7844,한 달에 한 번씩은 못 오겠는데요!,I don't think I can come here once a month!
7845,나는 태어나서 한번도 연예인을 본 적이 없다.,I've never seen a celebrity in my life.
7846,스타트업이면 연봉이 평균보다 더 높겠네.,Startup companies have higher annual salaries than the average.
7847,발끝을 카메라 끝으로 맞추면 되는 거죠? 잠시만요. ,"Your feet should come at the tip of the camera, right? Wait a second."
7848,개인이나 적은 수의 사람들이 특수한 분야에 사용하기 위해 만들어진 것이에요.,It is made for one or a few people to use in specific fields.
7849,블루 스크린이 일주일 만에 발생했어요.,The blue screen popped up only after a week.
7850,그가 출연한 영화 스텝업에 영상을 보시죠.,"Let's see the movie, Step Up that he acted in."
7851,아무에게도 말을 하고 싶지 않아요.,I don't feel like talking to anybody.
7852,그렇다면 배고플 때 토마토나 과일 조금 먹어도 될 것 같아요.,Then I think when you feel hungry you can eat a little tomato or fruit.4
7853,안녕하세요. 요즘은 저희 아들 때문에 시끄럽진 않으세요?,Hello. Aren't you annoyed by the noise that my son makes these days?
7854,이 설비를 운전해 본 경험이 있습니까?,Do you have experience in operating this machine?
7855,지금 원화로 바꾸면 손해가 큽니다. 급하게 원화가 필요하신 게 아니라면 가지고 있는 게 좋을 것 같습니다.,"You will lose a lot if you change to won now. Unless you need won urgently, I think it would be best just to keep your money."
7856,니가 너무 편안해 응석 부리는 거야.,He's acting spoilt because you're so easy.
7857,지금 당장 시원한 방은 막 청소를 끝낸 방일 거예요. ,The room where they just finished cleaning would be the coolest.
7858,당신은 편안한 마음을 갖어야 해요.,You should have peace in your mind.
7859,나는 내일 중국 사무실에 요청할 것이예요.,I will ask the China office tomorrow.
7860,당신은 왜 미국이 일본보다 더 좋다고 생각하세요?,Why do you think the United States is better than Japan?
7861,점심 식사는 어디서 하면 좋을지 의견 있으십니까?,Do you have any opinion about where we should have lunch?
7862,내 꿈은 소통하는 사진 작가가 되는 것이에요.,I want to be a professional photographer who communicates.
7863,국회가 그렇게 치고받고 싸우는 곳인 줄 몰랐어. ,I never knew that Congress was all about fighting.
7864,나는 일본 특유의 감성적인 느낌을 좋아해요.,I like the peculiar Japanese sensitivity.
7865,과연 무엇이 나를 철저히 나만의 공간에 갇히게 만들었을까?,"Well, What made me of being definitely stuck into my place?"
7866,다른 건 괜찮은 데 채널 6번만 안 돼.,"The other channels are fine, only channel 6 is not working."
7867,영어로도 필요할 것 같아요.,We will also need one in English.
7868,우리 이번 동계 올림픽의 무슨 종목을 보러 가는 게 좋을까?,What sports should we go see at the Winter Olympics?
7869,"앞모습, 양팔을 최대한 벌린 모습이예요.",This is figure that it stretches its arm as long as it can.
7870,"그녀는 미국의 작가, 교육자이자 사회주의 운동가이에요.","She is an American writer, educator, and socialist."
7871,캠핑 용품 웹 사이트에 들어가 보시면 어때요?,Why don't you try some camping supply Web sites?
7872,이 지갑은 저렴하고 검정색이에요.,This wallet is cheap and black color.
7873,매리와 빌이 6월달에 결혼한대요.,Mary and Bill are going to marry in June.
7874,매장에서 일이 끝나면 숙소로 가서 쉬는거야?,Do you go home after work at the store?
7875,혹시 한국에서 지하철 이용할 때 알아야 할 규칙들이 있나요?,Are there any rules I should know when using the subway in Korea?
7876,수학 시간에 왜 그룹 과제가 필요가 없어? 나는 되게 도움 많이 되던데.,Why do you think math classes shouldn't have group projects? It helped me a lot.
7877,너 친구 집에서는 안 자봤어? 그 사람들도 매일 청소하고 침구 바꿔줘.,Haven't you ever stay at your friend's house? The host cleans the house and changes bedding everyday.
7878,나는 아래 직원 들에게 선물을 했어요.,I gave presents to my lower employees.
7879,당신이 보내준 4박스에 추가해서 같이 보내드리겠어요.,I'll send it to you along with the four boxes you sent me.
7880,택시를 이용해서 바다까지 갈 수 있는지 궁금합니다.,I want to know if you can take a taxi to the beach. 
7881,당신은 건강하지 않은 습관 들을 가지고 있지 않나요?,Don’t you have a habit that is not good for your health?
7882,한 가지만 더 묻겠습니다. 신상품 출시는 정확히 언제입니까? ,Let me ask you one more question. When exactly is the launch of the new product? 
7883,그럼 시내에 있는 절이 요즘 인기 있으니 괜찮을 것 같네요.,Then the Buddhist temple in downtown would be good because it is popular these days. 
7884,완료후 당신에게 인수증을 보내드리겠어요.,We will send you the receipt after completion.
7885,"문화의 차이가 있으니까 당연히 다를 것 같긴 한데, 어떻게 다르대? ","I guess that sounds natural, considering cultural differences. How is it different?"
7886,그래서 그 여자는 지역 약국에 가기로 했어요.,So she decided to go to a local pharmacy.
7887,때로는 어둠을 극복해야 할 때가 있어요.,Sometimes we have to overcome the darkness.
7888,우리는 부모의 일과 가정의 양립을 위해 일해요.,We work for the coexistence of parents' work and their family.
7889,"새라, 이번에 콜롬비아로 출장을 간다면서?","Sarah, I heard you were going on a business trip to Colombia."
7890,출장 가서 휴가를 같이 쓰고 오고 싶은데 가능할까?,"I want to use my vacation time when I go on the business trip, and would it be possible?"
7891,이 수분크림이 기존의 수분크림과 어떤 점이 다른가요?,How is this moisture cream different from the conventional moisturizer?
7892,스 트레칭을 자주 하여 부종을 가라앉혀 주세요.,Soothe the swelling by stretching often.
7893,사실 다음 달에 여행을 가려고 해. ,"Actually, I'm going to travel there next month."
7894,"첫 출장을 간다고 들었는데, 준비는 잘 되어가나요?","I heard it's your first business trip, and how are the preparations going?"
7895,고개를 숙이고 콧등을 손으로 꾹 눌러주세요. 고개를 위로 들지 마세요.,Lower your head and squeeze your nose. Don't lift your head up.
7896,반려동물 전문 채널에서 하고 있고 고양이 말고도 다양한 동물들에 대해서 알려줘. ,"It's on the pet channel, and it talks about many different animals other than cats, too."
7897,부엌의 벽지가 살구색인데 2번이 어울릴까?,The kitchen wallpaper color is peach so do you think it matches the second?
7898,우리 쌀이 당신네 빵과 맞먹지요.,Our rice corresponds to your bread.
7899,나는 그 걱정에서 자유롭고 싶어.,I want to be free from that worry.
7900,예수의 사랑을 전하기 위해 왔어요.,I came to spread the love of Jesus.
7901,사실 우리 사무실은 둘러보기에는 좋지않아.,"Our offices is not good for tours, actually."
7902,저녁 8시에 문을 닫습니다.,We close at 8 p.m.
7903,좋다. 그럼 이 앞에 바다 산책하고 브런치나 먹을까?,Good. Why don't we have brunch at the beach after taking a walk?
7904,어떻게 고객들의 반감을 낮출 수 있을까요?,How can we minimize customers' complaints?
7905,그럼 최소언제까지 검사를 마쳐야하나요?,Then until when do I have to get the examination at least?
7906,대학교를 진학하기위하여 공부를 해야 했어요.,I should have to studied to go to the college.
